"","variable","value","value_label"
"1","resDisposition",0,"Unused"
"2","resDisposition",1,"Completed"
"3","resDisposition",2,"Dropped"
"4","resDisposition",3,"Screened Out"
"5","resDisposition",4,"Interrupted"
"6","resDisposition",5,"Out of Quota"
"7","resDisposition",6,"Reset"
"8","INTRO",1,"I agree to participate in the survey"
"9","INTRO",2,"I do NOT agree to participate in the survey"
"10","SCREEN",1,"Yes"
"11","SCREEN",2,"No"
"12","NUMB_BIRTH",1,"1"
"13","NUMB_BIRTH",2,"2"
"14","NUMB_BIRTH",3,"3"
"15","NUMB_BIRTH",4,"4"
"16","NUMB_BIRTH",5,"5"
"17","NUMB_BIRTH",6,"6"
"18","NUMB_BIRTH",7,"7"
"19","NUMB_BIRTH",8,"8"
"20","NUMB_BIRTH",9,"9"
"21","NUMB_BIRTH",10,"10"
"22","NUMB_BIRTH",11,"11"
"23","NUMB_BIRTH",12,"12"
"24","NUMB_BIRTH",13,"13"
"25","NUMB_BIRTH",14,"14"
"26","NUMB_BIRTH",15,"15"
"27","TIMES",0,"time"
"28","TIMES",1,"times"
"29","SCREEN3",1,"Home"
"30","SCREEN3",2,"Birth center"
"31","SCREEN3",3,"Hospital"
"32","SCREEN3",4,"Somewhere else"
"33","SCREEN4",1,"A single baby"
"34","SCREEN4",2,"Twins"
"35","SCREEN4",3,"Triplets or more"
"36","SCREEN5",1,"USA"
"37","SCREEN5",2,"Another country (Please specify)"
"38","SCREEN6",1,"Yes"
"39","SCREEN6",2,"No"
"40","NUMB_BIRTH_OLD",1,"1"
"41","NUMB_BIRTH_OLD",2,"2"
"42","NUMB_BIRTH_OLD",3,"3"
"43","NUMB_BIRTH_OLD",4,"4"
"44","NUMB_BIRTH_OLD",5,"5"
"45","NUMB_BIRTH_OLD",6,"6"
"46","NUMB_BIRTH_OLD",7,"7"
"47","NUMB_BIRTH_OLD",8,"8"
"48","NUMB_BIRTH_OLD",9,"9"
"49","NUMB_BIRTH_OLD",10,"10"
"50","NUMB_BIRTH_OLD",11,"11"
"51","NUMB_BIRTH_OLD",12,"12"
"52","NUMB_BIRTH_OLD",13,"13"
"53","NUMB_BIRTH_OLD",14,"14"
"54","NUMB_BIRTH_OLD",15,"15 or more times"
"55","NUMB_BIRTH_OLD",99,"I prefer not to answer"
"56","PREG_INT",1,"Yes, but I was hoping to become pregnant sooner"
"57","PREG_INT",2,"Yes, I wanted to become pregnant at that time"
"58","PREG_INT",3,"Yes, but I was hoping to be pregnant later on"
"59","PREG_INT",4,"No, I didn’t want to be pregnant then or at any time in the future"
"60","PREG_INT",99,"I’d prefer not to answer"
"61","PREPREG_PHYSCONDC1",0,"No"
"62","PREPREG_PHYSCONDC1",1,"Yes"
"63","PREPREG_PHYSCONDC2",0,"No"
"64","PREPREG_PHYSCONDC2",1,"Yes"
"65","PREPREG_PHYSCONDC3",0,"No"
"66","PREPREG_PHYSCONDC3",1,"Yes"
"67","PREPREG_PHYSCONDC4",0,"No"
"68","PREPREG_PHYSCONDC4",1,"Yes"
"69","PREPREG_PHYSCONDC5",0,"No"
"70","PREPREG_PHYSCONDC5",1,"Yes"
"71","PREPREG_MHCONDC1",0,"No"
"72","PREPREG_MHCONDC1",1,"Yes"
"73","PREPREG_MHCONDC2",0,"No"
"74","PREPREG_MHCONDC2",1,"Yes"
"75","PREPREG_MHCONDC3",0,"No"
"76","PREPREG_MHCONDC3",1,"Yes"
"77","PREPREG_MHCONDC4",0,"No"
"78","PREPREG_MHCONDC4",1,"Yes"
"79","PREPREG_MHCONDC5",0,"No"
"80","PREPREG_MHCONDC5",1,"Yes"
"81","PREPREG_MHCONDC6",0,"No"
"82","PREPREG_MHCONDC6",1,"Yes"
"83","PREPREG_MHCONDC7",0,"No"
"84","PREPREG_MHCONDC7",1,"Yes"
"85","HEIGHT_FEET",3,"3"
"86","HEIGHT_FEET",4,"4"
"87","HEIGHT_FEET",5,"5"
"88","HEIGHT_FEET",6,"6"
"89","HEIGHT_FEET",7,"7"
"90","HEIGHT_INCHES",0,"0"
"91","HEIGHT_INCHES",1,"1"
"92","HEIGHT_INCHES",2,"2"
"93","HEIGHT_INCHES",3,"3"
"94","HEIGHT_INCHES",4,"4"
"95","HEIGHT_INCHES",5,"5"
"96","HEIGHT_INCHES",6,"6"
"97","HEIGHT_INCHES",7,"7"
"98","HEIGHT_INCHES",8,"8"
"99","HEIGHT_INCHES",9,"9"
"100","HEIGHT_INCHES",10,"10"
"101","HEIGHT_INCHES",11,"11"
"102","LEARNED1",99,"I’d prefer not to answer"
"103","LEARNED2",1,"I did not have any prenatal visits"
"104","LEARNED2",99,"I’d prefer not to answer"
"105","FIRSTVISIT",1,"Yes"
"106","FIRSTVISIT",2,"No"
"107","FIRSTVISIT",99,"I’d prefer not to answer"
"108","NOPRENATALC1",0,"No"
"109","NOPRENATALC1",1,"Yes"
"110","NOPRENATALC2",0,"No"
"111","NOPRENATALC2",1,"Yes"
"112","NOPRENATALC3",0,"No"
"113","NOPRENATALC3",1,"Yes"
"114","NOPRENATALC4",0,"No"
"115","NOPRENATALC4",1,"Yes"
"116","NOPRENATALC5",0,"No"
"117","NOPRENATALC5",1,"Yes"
"118","NOPRENATALC6",0,"No"
"119","NOPRENATALC6",1,"Yes"
"120","NOPRENATALC7",0,"No"
"121","NOPRENATALC7",1,"Yes"
"122","NOPRENATALC8",0,"No"
"123","NOPRENATALC8",1,"Yes"
"124","NOPRENATALC9",0,"No"
"125","NOPRENATALC9",1,"Yes"
"126","NOPRENATALC10",0,"No"
"127","NOPRENATALC10",1,"Yes"
"128","NOPRENATALC11",0,"No"
"129","NOPRENATALC11",1,"Yes"
"130","NOPRENATALC12",0,"No"
"131","NOPRENATALC12",1,"Yes"
"132","NOPRENATALC13",0,"No"
"133","NOPRENATALC13",1,"Yes"
"134","NOPRENATALC14",0,"No"
"135","NOPRENATALC14",1,"Yes"
"136","PROVIDER",1,"An obstetrician-gynecologist doctor (could be called OB, OBGYN, or maternal-fetal medicine specialist)"
"137","PROVIDER",2,"A family medicine doctor (could be called FP)"
"138","PROVIDER",3,"A doctor but I’m not sure what kind"
"139","PROVIDER",4,"A midwife (could be called CNM)"
"140","PROVIDER",5,"A nurse-practitioner (NP) or other nurse who was not a midwife"
"141","PROVIDER",6,"A physician assistant or physician associate (PA)"
"142","PROVIDER",99,"I’d prefer not to answer"
"143","PROVIDERCHOICE",1,"Yes, I had a choice and generally saw one person"
"144","PROVIDERCHOICE",2,"Yes, I had a choice and generally saw members of a small team"
"145","PROVIDERCHOICE",3,"No, I had no choice; my maternity care provider was assigned to me"
"146","PROVIDERCHOICE",99,"I’d prefer not to answer"
"147","CARESETTINGC1",0,"No"
"148","CARESETTINGC1",1,"Yes"
"149","CARESETTINGC2",0,"No"
"150","CARESETTINGC2",1,"Yes"
"151","CARESETTINGC3",0,"No"
"152","CARESETTINGC3",1,"Yes"
"153","CARESETTINGC4",0,"No"
"154","CARESETTINGC4",1,"Yes"
"155","CARESETTINGC5",0,"No"
"156","CARESETTINGC5",1,"Yes"
"157","CARESETTINGC6",0,"No"
"158","CARESETTINGC6",1,"Yes"
"159","CARESETTINGC7",0,"No"
"160","CARESETTINGC7",1,"Yes"
"161","CARESETTINGC8",0,"No"
"162","CARESETTINGC8",1,"Yes"
"163","CARESETTINGC9",0,"No"
"164","CARESETTINGC9",1,"Yes"
"165","CARETYPEC1",0,"No"
"166","CARETYPEC1",1,"Yes"
"167","CARETYPEC2",0,"No"
"168","CARETYPEC2",1,"Yes"
"169","CARETYPEC3",0,"No"
"170","CARETYPEC3",1,"Yes"
"171","CARETYPE1",1,"Yes"
"172","CARETYPE1",2,"No"
"173","CARETYPE1",98,"I don’t know"
"174","CARETYPE1",99,"I’d prefer not to answer"
"175","CAREMODEC1",0,"No"
"176","CAREMODEC1",1,"Yes"
"177","CAREMODEC2",0,"No"
"178","CAREMODEC2",1,"Yes"
"179","CAREMODEC3",0,"No"
"180","CAREMODEC3",1,"Yes"
"181","WHYTELEC1",0,"No"
"182","WHYTELEC1",1,"Yes"
"183","WHYTELEC2",0,"No"
"184","WHYTELEC2",1,"Yes"
"185","WHYTELEC3",0,"No"
"186","WHYTELEC3",1,"Yes"
"187","WHYTELEC4",0,"No"
"188","WHYTELEC4",1,"Yes"
"189","WHYTELEC5",0,"No"
"190","WHYTELEC5",1,"Yes"
"191","WHYTELEC6",0,"No"
"192","WHYTELEC6",1,"Yes"
"193","WHYTELEC7",0,"No"
"194","WHYTELEC7",1,"Yes"
"195","WHYTELEC8",0,"No"
"196","WHYTELEC8",1,"Yes"
"197","ATHOMECAREC1",0,"No"
"198","ATHOMECAREC1",1,"Yes"
"199","ATHOMECAREC2",0,"No"
"200","ATHOMECAREC2",1,"Yes"
"201","ATHOMECAREC3",0,"No"
"202","ATHOMECAREC3",1,"Yes"
"203","ATHOMECAREC4",0,"No"
"204","ATHOMECAREC4",1,"Yes"
"205","ATHOMECAREC5",0,"No"
"206","ATHOMECAREC5",1,"Yes"
"207","ATHOMECAREC6",0,"No"
"208","ATHOMECAREC6",1,"Yes"
"209","BPCONFID",1,"Yes, fully confident"
"210","BPCONFID",2,"Yes, somewhat confident"
"211","BPCONFID",3,"No, not confident"
"212","BPCONFID",99,"I’d prefer not to answer"
"213","URINECONFID",1,"Yes, fully confident"
"214","URINECONFID",2,"Yes, somewhat confident"
"215","URINECONFID",3,"No, not confident"
"216","URINECONFID",99,"I’d prefer not to answer"
"217","WEIGHCONFID",1,"Yes, fully confident"
"218","WEIGHCONFID",2,"Yes, somewhat confident"
"219","WEIGHCONFID",3,"No, not confident"
"220","WEIGHCONFID",99,"I’d prefer not to answer"
"221","BABYHRCONFID",1,"Yes, fully confident"
"222","BABYHRCONFID",2,"Yes, somewhat confident"
"223","BABYHRCONFID",3,"No, not confident"
"224","BABYHRCONFID",99,"I’d prefer not to answer"
"225","CARETYPEPREF",1,"Prenatal visits by myself"
"226","CARETYPEPREF",2,"Group prenatal visits"
"227","CARETYPEPREF",3,"I like a mix of both"
"228","CARETYPEPREF",99,"I’d prefer not to answer"
"229","CAREMODEPREF",1,"In-person visits"
"230","CAREMODEPREF",2,"Televisits"
"231","CAREMODEPREF",3,"I like a mix of both"
"232","CAREMODEPREF",99,"I’d prefer not to answer"
"233","PRIOREDUC",1,"Yes"
"234","PRIOREDUC",2,"No"
"235","PRIOREDUC",98,"I don’t know"
"236","PRIOREDUC",99,"I’d prefer not to answer"
"237","CURREDUC",1,"Yes"
"238","CURREDUC",2,"No"
"239","CURREDUC",98,"I don’t know"
"240","CURREDUC",99,"I’d prefer not to answer"
"241","EDUCTYPE",1,"Offered by your hospital"
"242","EDUCTYPE",2,"Offered by someone not connected to your hospital"
"243","EDUCTYPE",98,"I don’t know"
"244","EDUCTYPE",99,"I’d prefer not to answer"
"245","EDUCMODEC1",0,"No"
"246","EDUCMODEC1",1,"Yes"
"247","EDUCMODEC2",0,"No"
"248","EDUCMODEC2",1,"Yes"
"249","EDUCMODEC3",0,"No"
"250","EDUCMODEC3",1,"Yes"
"251","EDUCMODEC4",0,"No"
"252","EDUCMODEC4",1,"Yes"
"253","EDUCMODEC5",0,"No"
"254","EDUCMODEC5",1,"Yes"
"255","EDUCIMPACTC1",0,"No"
"256","EDUCIMPACTC1",1,"Yes"
"257","EDUCIMPACTC2",0,"No"
"258","EDUCIMPACTC2",1,"Yes"
"259","EDUCIMPACTC3",0,"No"
"260","EDUCIMPACTC3",1,"Yes"
"261","EDUCIMPACTC4",0,"No"
"262","EDUCIMPACTC4",1,"Yes"
"263","EDUCIMPACTC5",0,"No"
"264","EDUCIMPACTC5",1,"Yes"
"265","EDUCIMPACTC6",0,"No"
"266","EDUCIMPACTC6",1,"Yes"
"267","EDUCIMPACTC7",0,"No"
"268","EDUCIMPACTC7",1,"Yes"
"269","EDUCIMPACTC8",0,"No"
"270","EDUCIMPACTC8",1,"Yes"
"271","EMPLOY",1,"Yes, by someone else"
"272","EMPLOY",2,"Yes, self-employed"
"273","EMPLOY",3,"No"
"274","EMPLOY",99,"I’d prefer not to answer"
"275","EMPLOYHOURS",1,"I was employed part-time (less than 30 hours per week)"
"276","EMPLOYHOURS",2,"I was employed full-time (30 or more hours per week)"
"277","EMPLOYHOURS",99,"I’d prefer not to answer"
"278","EMPLOYBEN",1,"Yes"
"279","EMPLOYBEN",2,"No"
"280","EMPLOYBEN",98,"I don’t know"
"281","EMPLOYBEN",99,"I’d prefer not to answer"
"282","EMPLOYCHANGE",1,"Yes, I needed some temporary workplace changes for a healthy pregnancy"
"283","EMPLOYCHANGE",2,"No, I did not need temporary workplace changes for a healthy pregnancy"
"284","EMPLOYCHANGE",98,"I don’t know"
"285","EMPLOYCHANGE",99,"I’d prefer not to answer"
"286","EMPLOYCHANGE1",1,"Yes, fully"
"287","EMPLOYCHANGE1",2,"Yes, partially"
"288","EMPLOYCHANGE1",3,"No, not at all"
"289","EMPLOYCHANGE1",99,"I’d prefer not to answer"
"290","BOTHER_A1",1,"Always"
"291","BOTHER_A1",2,"Usually"
"292","BOTHER_A1",3,"Sometimes"
"293","BOTHER_A1",4,"Never"
"294","BOTHER_A1",99,"I’d prefer not to answer"
"295","BOTHER_A2",1,"Always"
"296","BOTHER_A2",2,"Usually"
"297","BOTHER_A2",3,"Sometimes"
"298","BOTHER_A2",4,"Never"
"299","BOTHER_A2",99,"I’d prefer not to answer"
"300","BOTHER_A3",1,"Always"
"301","BOTHER_A3",2,"Usually"
"302","BOTHER_A3",3,"Sometimes"
"303","BOTHER_A3",4,"Never"
"304","BOTHER_A3",99,"I’d prefer not to answer"
"305","BOTHER_A4",1,"Always"
"306","BOTHER_A4",2,"Usually"
"307","BOTHER_A4",3,"Sometimes"
"308","BOTHER_A4",4,"Never"
"309","BOTHER_A4",99,"I’d prefer not to answer"
"310","MENTALSUPPORT",1,"Yes"
"311","MENTALSUPPORT",2,"No"
"312","MENTALSUPPORT",99,"I’d prefer not to answer"
"313","MENTALSUPPORT1C1",0,"No"
"314","MENTALSUPPORT1C1",1,"Yes"
"315","MENTALSUPPORT1C2",0,"No"
"316","MENTALSUPPORT1C2",1,"Yes"
"317","MENTALSUPPORT1C3",0,"No"
"318","MENTALSUPPORT1C3",1,"Yes"
"319","MENTALSUPPORT1C4",0,"No"
"320","MENTALSUPPORT1C4",1,"Yes"
"321","MENTALSUPPORT1C5",0,"No"
"322","MENTALSUPPORT1C5",1,"Yes"
"323","MENTALSUPPORT1C6",0,"No"
"324","MENTALSUPPORT1C6",1,"Yes"
"325","PREGCONDITIONC1",0,"No"
"326","PREGCONDITIONC1",1,"Yes"
"327","PREGCONDITIONC2",0,"No"
"328","PREGCONDITIONC2",1,"Yes"
"329","PREGCONDITIONC3",0,"No"
"330","PREGCONDITIONC3",1,"Yes"
"331","PREGCONDITIONC4",0,"No"
"332","PREGCONDITIONC4",1,"Yes"
"333","PREGCONDITIONC5",0,"No"
"334","PREGCONDITIONC5",1,"Yes"
"335","PREGCONDITIONC6",0,"No"
"336","PREGCONDITIONC6",1,"Yes"
"337","PREGCONDITIONC7",0,"No"
"338","PREGCONDITIONC7",1,"Yes"
"339","PREGCONDITIONC8",0,"No"
"340","PREGCONDITIONC8",1,"Yes"
"341","PREGCONDITIONC9",0,"No"
"342","PREGCONDITIONC9",1,"Yes"
"343","PREGCONDITIONC10",0,"No"
"344","PREGCONDITIONC10",1,"Yes"
"345","PREGCONDITIONC11",0,"No"
"346","PREGCONDITIONC11",1,"Yes"
"347","TRAP1",1,"Agree a lot"
"348","TRAP1",2,"Agree a little"
"349","TRAP1",3,"Neither agree nor disagree"
"350","TRAP1",4,"Disagree a little"
"351","TRAP1",5,"Disagree a lot"
"352","TRAP1",9,"I prefer not to answer"
"353","BIGBABY1",1,"Yes"
"354","BIGBABY1",2,"No"
"355","BIGBABY1",98,"I don’t know"
"356","BIGBABY1",99,"I’d prefer not to answer"
"357","BIGBABY2",1,"Yes, a labor induction"
"358","BIGBABY2",2,"Yes, a C-section"
"359","BIGBABY2",95,"Yes, something else (please specify)"
"360","BIGBABY2",97,"No"
"361","BIGBABY2",98,"I don’t know"
"362","BIGBABY2",99,"I’d prefer not to answer"
"363","TRAP_AREA_SELECTOR",1,"Area 1"
"364","TRAP_AREA_SELECTOR",2,"Area 2"
"365","TRAP_AREA_SELECTOR",3,"Area 3"
"366","TRAP_AREA_SELECTOR",4,"Area 4"
"367","DUEDATE_M",1,"January"
"368","DUEDATE_M",2,"February"
"369","DUEDATE_M",3,"March"
"370","DUEDATE_M",4,"April"
"371","DUEDATE_M",5,"May"
"372","DUEDATE_M",6,"June"
"373","DUEDATE_M",7,"July"
"374","DUEDATE_M",8,"August"
"375","DUEDATE_M",9,"September"
"376","DUEDATE_M",10,"October"
"377","DUEDATE_M",11,"November"
"378","DUEDATE_M",12,"December"
"379","DUEDATE_D",1,"1"
"380","DUEDATE_D",2,"2"
"381","DUEDATE_D",3,"3"
"382","DUEDATE_D",4,"4"
"383","DUEDATE_D",5,"5"
"384","DUEDATE_D",6,"6"
"385","DUEDATE_D",7,"7"
"386","DUEDATE_D",8,"8"
"387","DUEDATE_D",9,"9"
"388","DUEDATE_D",10,"10"
"389","DUEDATE_D",11,"11"
"390","DUEDATE_D",12,"12"
"391","DUEDATE_D",13,"13"
"392","DUEDATE_D",14,"14"
"393","DUEDATE_D",15,"15"
"394","DUEDATE_D",16,"16"
"395","DUEDATE_D",17,"17"
"396","DUEDATE_D",18,"18"
"397","DUEDATE_D",19,"19"
"398","DUEDATE_D",20,"20"
"399","DUEDATE_D",21,"21"
"400","DUEDATE_D",22,"22"
"401","DUEDATE_D",23,"23"
"402","DUEDATE_D",24,"24"
"403","DUEDATE_D",25,"25"
"404","DUEDATE_D",26,"26"
"405","DUEDATE_D",27,"27"
"406","DUEDATE_D",28,"28"
"407","DUEDATE_D",29,"29"
"408","DUEDATE_D",30,"30"
"409","DUEDATE_D",31,"31"
"410","DUEDATE_Y",2022,"2022"
"411","DUEDATE_Y",2023,"2023"
"412","DUEDATE_Y",2024,"2024"
"413","DUEDATE_Y",2025,"2025"
"414","BIRTHDATE_M",1,"January"
"415","BIRTHDATE_M",2,"February"
"416","BIRTHDATE_M",3,"March"
"417","BIRTHDATE_M",4,"April"
"418","BIRTHDATE_M",5,"May"
"419","BIRTHDATE_M",6,"June"
"420","BIRTHDATE_M",7,"July"
"421","BIRTHDATE_M",8,"August"
"422","BIRTHDATE_M",9,"September"
"423","BIRTHDATE_M",10,"October"
"424","BIRTHDATE_M",11,"November"
"425","BIRTHDATE_M",12,"December"
"426","BIRTHDATE_D",1,"1"
"427","BIRTHDATE_D",2,"2"
"428","BIRTHDATE_D",3,"3"
"429","BIRTHDATE_D",4,"4"
"430","BIRTHDATE_D",5,"5"
"431","BIRTHDATE_D",6,"6"
"432","BIRTHDATE_D",7,"7"
"433","BIRTHDATE_D",8,"8"
"434","BIRTHDATE_D",9,"9"
"435","BIRTHDATE_D",10,"10"
"436","BIRTHDATE_D",11,"11"
"437","BIRTHDATE_D",12,"12"
"438","BIRTHDATE_D",13,"13"
"439","BIRTHDATE_D",14,"14"
"440","BIRTHDATE_D",15,"15"
"441","BIRTHDATE_D",16,"16"
"442","BIRTHDATE_D",17,"17"
"443","BIRTHDATE_D",18,"18"
"444","BIRTHDATE_D",19,"19"
"445","BIRTHDATE_D",20,"20"
"446","BIRTHDATE_D",21,"21"
"447","BIRTHDATE_D",22,"22"
"448","BIRTHDATE_D",23,"23"
"449","BIRTHDATE_D",24,"24"
"450","BIRTHDATE_D",25,"25"
"451","BIRTHDATE_D",26,"26"
"452","BIRTHDATE_D",27,"27"
"453","BIRTHDATE_D",28,"28"
"454","BIRTHDATE_D",29,"29"
"455","BIRTHDATE_D",30,"30"
"456","BIRTHDATE_D",31,"31"
"457","DOULAC1",0,"No"
"458","DOULAC1",1,"Yes"
"459","DOULAC2",0,"No"
"460","DOULAC2",1,"Yes"
"461","DOULAC3",0,"No"
"462","DOULAC3",1,"Yes"
"463","DOULAC4",0,"No"
"464","DOULAC4",1,"Yes"
"465","DOULAC5",0,"No"
"466","DOULAC5",1,"Yes"
"467","DOULA1C1",0,"No"
"468","DOULA1C1",1,"Yes"
"469","DOULA1C2",0,"No"
"470","DOULA1C2",1,"Yes"
"471","DOULA1C3",0,"No"
"472","DOULA1C3",1,"Yes"
"473","DOULA1C4",0,"No"
"474","DOULA1C4",1,"Yes"
"475","DOULA1C5",0,"No"
"476","DOULA1C5",1,"Yes"
"477","DOULA1C6",0,"No"
"478","DOULA1C6",1,"Yes"
"479","DOULA1C7",0,"No"
"480","DOULA1C7",1,"Yes"
"481","DOULA2C1",0,"No"
"482","DOULA2C1",1,"Yes"
"483","DOULA2C2",0,"No"
"484","DOULA2C2",1,"Yes"
"485","DOULA2C3",0,"No"
"486","DOULA2C3",1,"Yes"
"487","DOULA2C4",0,"No"
"488","DOULA2C4",1,"Yes"
"489","DOULA2C5",0,"No"
"490","DOULA2C5",1,"Yes"
"491","DOULA2C6",0,"No"
"492","DOULA2C6",1,"Yes"
"493","DOULA2C7",0,"No"
"494","DOULA2C7",1,"Yes"
"495","DOULA3",99,"I’d prefer not to answer"
"496","OTHERSUPPORTC1",0,"No"
"497","OTHERSUPPORTC1",1,"Yes"
"498","OTHERSUPPORTC2",0,"No"
"499","OTHERSUPPORTC2",1,"Yes"
"500","OTHERSUPPORTC3",0,"No"
"501","OTHERSUPPORTC3",1,"Yes"
"502","OTHERSUPPORTC4",0,"No"
"503","OTHERSUPPORTC4",1,"Yes"
"504","INDUCE",1,"Yes"
"505","INDUCE",2,"No"
"506","INDUCE",98,"I don’t know"
"507","INDUCE",99,"I’d prefer not to answer"
"508","INDUCE1",1,"A lot"
"509","INDUCE1",2,"Some"
"510","INDUCE1",3,"A little"
"511","INDUCE1",4,"Not at all"
"512","INDUCE1",99,"I’d prefer not to answer"
"513","INDUCE2",1,"A lot"
"514","INDUCE2",2,"Some"
"515","INDUCE2",3,"A little"
"516","INDUCE2",4,"Not at all"
"517","INDUCE2",99,"I’d prefer not to answer"
"518","INDUCE3",1,"Yes"
"519","INDUCE3",2,"No"
"520","INDUCE3",99,"I’d prefer not to answer"
"521","INDUCE4",1,"Yes"
"522","INDUCE4",2,"No"
"523","INDUCE4",99,"I’d prefer not to answer"
"524","INDUCE5",1,"Yes, my provider thought my labor should be induced"
"525","INDUCE5",2,"Yes, my provider thought my labor should not be induced"
"526","INDUCE5",3,"No, my provider did not make a recommendation"
"527","INDUCE5",99,"I’d prefer not to answer"
"528","INDUCE6",99,"I’d prefer not to answer"
"529","INDUCE7",1,"My decision"
"530","INDUCE7",2,"My maternity care provider’s decision"
"531","INDUCE7",3,"We made the decision together"
"532","INDUCE7",99,"I’d prefer not to answer"
"533","SELFINDUCE",1,"Yes"
"534","SELFINDUCE",2,"No"
"535","SELFINDUCE",99,"I’d prefer not to answer"
"536","SELFINDUCE1",1,"Yes"
"537","SELFINDUCE1",2,"No"
"538","SELFINDUCE1",98,"I’m not sure"
"539","SELFINDUCE1",99,"I’d prefer not to answer"
"540","SELFINDUCE2C1",0,"No"
"541","SELFINDUCE2C1",1,"Yes"
"542","SELFINDUCE2C2",0,"No"
"543","SELFINDUCE2C2",1,"Yes"
"544","SELFINDUCE2C3",0,"No"
"545","SELFINDUCE2C3",1,"Yes"
"546","SELFINDUCE2C4",0,"No"
"547","SELFINDUCE2C4",1,"Yes"
"548","SELFINDUCE2C5",0,"No"
"549","SELFINDUCE2C5",1,"Yes"
"550","SELFINDUCE2C6",0,"No"
"551","SELFINDUCE2C6",1,"Yes"
"552","SELFINDUCE2C7",0,"No"
"553","SELFINDUCE2C7",1,"Yes"
"554","SELFINDUCE2C8",0,"No"
"555","SELFINDUCE2C8",1,"Yes"
"556","SELFINDUCE2C9",0,"No"
"557","SELFINDUCE2C9",1,"Yes"
"558","MEDINDUCE",1,"Yes"
"559","MEDINDUCE",2,"No"
"560","MEDINDUCE",98,"I’m not sure"
"561","MEDINDUCE",99,"I’d prefer not to answer"
"562","MEDINDUCE1C1",0,"No"
"563","MEDINDUCE1C1",1,"Yes"
"564","MEDINDUCE1C2",0,"No"
"565","MEDINDUCE1C2",1,"Yes"
"566","MEDINDUCE1C3",0,"No"
"567","MEDINDUCE1C3",1,"Yes"
"568","MEDINDUCE1C4",0,"No"
"569","MEDINDUCE1C4",1,"Yes"
"570","MEDINDUCE1C5",0,"No"
"571","MEDINDUCE1C5",1,"Yes"
"572","MEDINDUCE1C6",0,"No"
"573","MEDINDUCE1C6",1,"Yes"
"574","MEDINDUCE1C7",0,"No"
"575","MEDINDUCE1C7",1,"Yes"
"576","MEDINDUCE1C8",0,"No"
"577","MEDINDUCE1C8",1,"Yes"
"578","MEDINDUCE1C9",0,"No"
"579","MEDINDUCE1C9",1,"Yes"
"580","MEDINDUCE2",1,"Yes"
"581","MEDINDUCE2",2,"No"
"582","MEDINDUCE2",98,"I’m not sure"
"583","MEDINDUCE2",99,"I’d prefer not to answer"
"584","MEDINDUCE3C1",0,"No"
"585","MEDINDUCE3C1",1,"Yes"
"586","MEDINDUCE3C2",0,"No"
"587","MEDINDUCE3C2",1,"Yes"
"588","MEDINDUCE3C3",0,"No"
"589","MEDINDUCE3C3",1,"Yes"
"590","MEDINDUCE3C4",0,"No"
"591","MEDINDUCE3C4",1,"Yes"
"592","MEDINDUCE3C5",0,"No"
"593","MEDINDUCE3C5",1,"Yes"
"594","MEDINDUCE3C6",0,"No"
