"","variable","value","value_label"
"595","MEDINDUCE3C6",1,"Yes"
"596","MEDINDUCE3C7",0,"No"
"597","MEDINDUCE3C7",1,"Yes"
"598","MEDINDUCE3C8",0,"No"
"599","MEDINDUCE3C8",1,"Yes"
"600","MEDINDUCE3C9",0,"No"
"601","MEDINDUCE3C9",1,"Yes"
"602","MEDINDUCE4",99,"I’d prefer not to answer"
"603","MEDINDUCE5",99,"I’d prefer not to answer"
"604","MODE",1,"Vaginal birth"
"605","MODE",2,"Cesarean birth (c-section)"
"606","MODE",99,"I’d prefer not to answer"
"607","MODE2",1,"Vaginal birth"
"608","MODE2",2,"Cesarean birth (c-section)"
"609","MODE2",99,"I’d prefer not to answer"
"610","MODE3",1,"Vaginal birth"
"611","MODE3",2,"Cesarean birth (c-section)"
"612","MODE3",99,"I’d prefer not to answer"
"613","MODE4",1,"Vaginal birth"
"614","MODE4",2,"Cesarean birth (c-section)"
"615","MODE4",99,"I’d prefer not to answer"
"616","MODE5",1,"Vaginal birth"
"617","MODE5",2,"Cesarean birth (c-section)"
"618","MODE5",99,"I’d prefer not to answer"
"619","MODE6",1,"Vaginal birth"
"620","MODE6",2,"Cesarean birth (c-section)"
"621","MODE6",99,"I’d prefer not to answer"
"622","MODE7",1,"Vaginal birth"
"623","MODE7",2,"Cesarean birth (c-section)"
"624","MODE7",99,"I’d prefer not to answer"
"625","MODE8",1,"Vaginal birth"
"626","MODE8",2,"Cesarean birth (c-section)"
"627","MODE8",99,"I’d prefer not to answer"
"628","MODE9",1,"Vaginal birth"
"629","MODE9",2,"Cesarean birth (c-section)"
"630","MODE9",99,"I’d prefer not to answer"
"631","MODE10",1,"Vaginal birth"
"632","MODE10",2,"Cesarean birth (c-section)"
"633","MODE10",99,"I’d prefer not to answer"
"634","MODE11",1,"Vaginal birth"
"635","MODE11",2,"Cesarean birth (c-section)"
"636","MODE11",99,"I’d prefer not to answer"
"637","MODE12",1,"Vaginal birth"
"638","MODE12",2,"Cesarean birth (c-section)"
"639","MODE12",99,"I’d prefer not to answer"
"640","MODE13",1,"Vaginal birth"
"641","MODE13",2,"Cesarean birth (c-section)"
"642","MODE13",99,"I’d prefer not to answer"
"643","MODE14",1,"Vaginal birth"
"644","MODE14",2,"Cesarean birth (c-section)"
"645","MODE14",99,"I’d prefer not to answer"
"646","MODE15",1,"Vaginal birth"
"647","MODE15",2,"Cesarean birth (c-section)"
"648","MODE15",99,"I’d prefer not to answer"
"649","MODE2023",1,"Vaginal birth"
"650","MODE2023",2,"Cesarean birth (c-section)"
"651","MODE2023",99,"I’d prefer not to answer"
"652","CSECTIONTYPE",1,"Planned ahead of time and scheduled before you went into labor"
"653","CSECTIONTYPE",2,"Unplanned"
"654","CSECTIONTYPE",95,"Something else, please specify"
"655","CSECTIONTYPE",99,"I’d prefer not to answer"
"656","LABCSEC",1,"Yes"
"657","LABCSEC",2,"No"
"658","LABCSEC",99,"I’d prefer not to answer"
"659","PLANNEDC",1,"I had a prior cesarean birth"
"660","PLANNEDC",2,"My baby was not doing well and needed to be born soon"
"661","PLANNEDC",3,"Because of my health problem, my baby needed to be born soon"
"662","PLANNEDC",4,"My baby was in the wrong position"
"663","PLANNEDC",5,"My maternity care provider was concerned that the baby was too big"
"664","PLANNEDC",6,"I was encouraged to plan a cesarean due to my larger size"
"665","PLANNEDC",7,"There was a problem with the placenta"
"666","PLANNEDC",8,"It was past my due date"
"667","PLANNEDC",95,"Some other reason, please specify"
"668","PLANNEDC",97,"There was no medical reason"
"669","PLANNEDC",99,"I’d prefer not to answer"
"670","VBACCHOICE",1,"Yes"
"671","VBACCHOICE",2,"No"
"672","VBACCHOICE",98,"I’m not sure"
"673","VBACCHOICE",99,"I’d prefer not to answer"
"674","VBACINTEREST",1,"Yes"
"675","VBACINTEREST",2,"No"
"676","VBACINTEREST",99,"I’d prefer not to answer"
"677","VBACEFFORT",1,"Yes, I tried to find a willing maternity care provider"
"678","VBACEFFORT",2,"Yes, I tried to find a willing hospital"
"679","VBACEFFORT",3,"Yes, something else, please specify (examples: lifestyle changes, VBAC class, etc.)"
"680","VBACEFFORT",97,"No, nothing"
"681","VBACEFFORT",99,"I’d prefer not to answer"
"682","VBACACCESSC1",0,"No"
"683","VBACACCESSC1",1,"Yes"
"684","VBACACCESSC2",0,"No"
"685","VBACACCESSC2",1,"Yes"
"686","VBACACCESSC3",0,"No"
"687","VBACACCESSC3",1,"Yes"
"688","VBACACCESSC4",0,"No"
"689","VBACACCESSC4",1,"Yes"
"690","VBACACCESSC5",0,"No"
"691","VBACACCESSC5",1,"Yes"
"692","UNPLANNEDREASON",1,"Labor was taking too long"
"693","UNPLANNEDREASON",2,"The baby was not doing well in labor"
"694","UNPLANNEDREASON",3,"Because of my health problem, the baby needed to be born soon"
"695","UNPLANNEDREASON",95,"Some other medical reason, please specify"
"696","UNPLANNEDREASON",98,"There was no medical reason"
"697","UNPLANNEDREASON",99,"I’d prefer not to answer"
"698","VAGASSIST",1,"Vacuum cup to help the baby out"
"699","VAGASSIST",2,"Forceps to help the baby out"
"700","VAGASSIST",3,"Neither"
"701","VAGASSIST",99,"I’d prefer not to answer"
"702","DRUGFREEC1",0,"No"
"703","DRUGFREEC1",1,"Yes"
"704","DRUGFREEC2",0,"No"
"705","DRUGFREEC2",1,"Yes"
"706","DRUGFREEC3",0,"No"
"707","DRUGFREEC3",1,"Yes"
"708","DRUGFREEC4",0,"No"
"709","DRUGFREEC4",1,"Yes"
"710","DRUGFREEC5",0,"No"
"711","DRUGFREEC5",1,"Yes"
"712","DRUGFREEC6",0,"No"
"713","DRUGFREEC6",1,"Yes"
"714","DRUGFREEC7",0,"No"
"715","DRUGFREEC7",1,"Yes"
"716","DRUGFREEC8",0,"No"
"717","DRUGFREEC8",1,"Yes"
"718","DRUGFREEC9",0,"No"
"719","DRUGFREEC9",1,"Yes"
"720","DRUGFREEC10",0,"No"
"721","DRUGFREEC10",1,"Yes"
"722","DRUGFREEC11",0,"No"
"723","DRUGFREEC11",1,"Yes"
"724","DRUGFREEC12",0,"No"
"725","DRUGFREEC12",1,"Yes"
"726","PAINMEDSC1",0,"No"
"727","PAINMEDSC1",1,"Yes"
"728","PAINMEDSC2",0,"No"
"729","PAINMEDSC2",1,"Yes"
"730","PAINMEDSC3",0,"No"
"731","PAINMEDSC3",1,"Yes"
"732","PAINMEDSC4",0,"No"
"733","PAINMEDSC4",1,"Yes"
"734","PAINMEDSC5",0,"No"
"735","PAINMEDSC5",1,"Yes"
"736","PAINMEDSC6",0,"No"
"737","PAINMEDSC6",1,"Yes"
"738","PAINMEDSC7",0,"No"
"739","PAINMEDSC7",1,"Yes"
"740","PAINMEDSC8",0,"No"
"741","PAINMEDSC8",1,"Yes"
"742","FETALMONC1",0,"No"
"743","FETALMONC1",1,"Yes"
"744","FETALMONC2",0,"No"
"745","FETALMONC2",1,"Yes"
"746","FETALMONC3",0,"No"
"747","FETALMONC3",1,"Yes"
"748","FETALMONC4",0,"No"
"749","FETALMONC4",1,"Yes"
"750","FETALMONC5",0,"No"
"751","FETALMONC5",1,"Yes"
"752","CSECTIONINTC1",0,"No"
"753","CSECTIONINTC1",1,"Yes"
"754","CSECTIONINTC2",0,"No"
"755","CSECTIONINTC2",1,"Yes"
"756","CSECTIONINTC3",0,"No"
"757","CSECTIONINTC3",1,"Yes"
"758","LABORINTC1",0,"No"
"759","LABORINTC1",1,"Yes"
"760","LABORINTC2",0,"No"
"761","LABORINTC2",1,"Yes"
"762","LABORINTC3",0,"No"
"763","LABORINTC3",1,"Yes"
"764","LABORINTC4",0,"No"
"765","LABORINTC4",1,"Yes"
"766","LABORINTC5",0,"No"
"767","LABORINTC5",1,"Yes"
"768","LABORINTC6",0,"No"
"769","LABORINTC6",1,"Yes"
"770","LABORINTC7",0,"No"
"771","LABORINTC7",1,"Yes"
"772","VAGEXAM",98,"I’m not sure"
"773","VAGEXAM",99,"I’d prefer not to answer"
"774","LABORWALK",1,"Yes"
"775","LABORWALK",2,"No"
"776","LABORWALK",3,"I was unable to walk in any case due to a prior condition (for example, spinal cord injury)"
"777","LABORWALK",99,"I’d prefer not to answer"
"778","LABORPERMIT_A1",1,"Yes"
"779","LABORPERMIT_A2",1,"Yes"
"780","LABORPERMIT_B1",2,"No, and I wasn't interested"
"781","LABORPERMIT_B2",2,"No, and I wasn't interested"
"782","LABORPERMIT_C1",3,"No, I was interested but not allowed"
"783","LABORPERMIT_C2",3,"No, I was interested but not allowed"
"784","LABORPERMIT_E1",99,"I'd prefer not to answer"
"785","LABORPERMIT_E2",99,"I'd prefer not to answer"
"786","BIRTHATTEND",1,"An obstetrician-gynecologist (could be called OB, OB-GYN, maternal-fetal medicine doctor)"
"787","BIRTHATTEND",2,"A family medicine doctor (could be called FP)"
"788","BIRTHATTEND",3,"A doctor but I’m not sure what kind"
"789","BIRTHATTEND",4,"A midwife (could be called CNM)"
"790","BIRTHATTEND",5,"A nurse who is not a midwife (ex. nurse practitioner (NP), registered nurse (RN), etc.)"
"791","BIRTHATTEND",6,"A physician assistant or physician associate (PA)"
"792","BIRTHATTEND",98,"I’m not sure"
"793","BIRTHATTEND",99,"I’d prefer not to answer"
"794","ATTENDSTUDENT",1,"Yes"
"795","ATTENDSTUDENT",2,"No"
"796","ATTENDSTUDENT",98,"I’m not sure"
"797","ATTENDSTUDENT",99,"I’d prefer not to answer"
"798","EPIST",1,"Yes"
"799","EPIST",2,"No"
"800","EPIST",98,"I’m not sure"
"801","EPIST",99,"I’d prefer not to answer"
"802","EPISTCHOICE",1,"Yes"
"803","EPISTCHOICE",2,"No"
"804","EPISTCHOICE",99,"I’d prefer not to answer"
"805","POSITION",1,"Lying on my back"
"806","POSITION",2,"With my back propped up (semi-sitting)"
"807","POSITION",3,"Upright (for example, squatting or sitting)"
"808","POSITION",4,"Lying on my side"
"809","POSITION",5,"On my hands and knees"
"810","POSITION",95,"Other, please specify"
"811","POSITION",99,"I’d prefer not to answer"
"812","POSITION2C1",0,"No"
"813","POSITION2C1",1,"Yes"
"814","POSITION2C2",0,"No"
"815","POSITION2C2",1,"Yes"
"816","POSITION2C3",0,"No"
"817","POSITION2C3",1,"Yes"
"818","POSITION2C4",0,"No"
"819","POSITION2C4",1,"Yes"
"820","POSITION2C5",0,"No"
"821","POSITION2C5",1,"Yes"
"822","POSITION2C6",0,"No"
"823","POSITION2C6",1,"Yes"
"824","POSITION2C7",0,"No"
"825","POSITION2C7",1,"Yes"
"826","POSITION2C8",0,"No"
"827","POSITION2C8",1,"Yes"
"828","POSITIONCHOICE",1,"Yes"
"829","POSITIONCHOICE",2,"No"
"830","POSITIONCHOICE",98,"I’m not sure whether I had a choice"
"831","POSITIONCHOICE",99,"I’d prefer not to answer"
"832","LABORLENGTH",999,"I’d prefer not to answer"
"833","SUTURE",1,"Yes"
"834","SUTURE",2,"No"
"835","SUTURE",98,"I’m not sure"
"836","SUTURE",99,"I’d prefer not to answer"
"837","GOLDENHOUR",1,"In my arms or on my chest"
"838","GOLDENHOUR",2,"In arms or on chest of my partner/spouse"
"839","GOLDENHOUR",3,"With staff for routine newborn care"
"840","GOLDENHOUR",4,"With staff for special care"
"841","GOLDENHOUR",95,"Somewhere else, please specify"
"842","GOLDENHOUR",98,"I’m not sure"
"843","GOLDENHOUR",99,"I’d prefer not to answer"
"844","SKIN",1,"“Skin-to-skin” contact with no clothing or blanket between the two of you or between them"
"845","SKIN",2,"Clothing or blanket between the two of you or between them"
"846","SKIN",98,"I’m not sure"
"847","SKIN",99,"I’d prefer not to answer"
"848","HOSPLOC",1,"With you (sometimes known as “rooming-in”)"
"849","HOSPLOC",2,"Sometimes with you, sometimes in the nursery"
"850","HOSPLOC",3,"Always or almost always in the nursery, but not in the NICU"
"851","HOSPLOC",4,"In the newborn intensive care unit (NICU)"
"852","HOSPLOC",99,"I’d prefer not to answer"
"853","NICU",1,"Yes, for the entire time in the hospital"
"854","NICU",2,"Yes, for part of the time in the hospital"
"855","NICU",3,"No, never in NICU"
"856","NICU",98,"I’m not sure"
"857","NICU",99,"I’d prefer not to answer"
"858","DAYSHOSP",98,"I’m not sure"
"859","DAYSHOSP",99,"I’d prefer not to answer"
"860","BABYHOSP",98,"I’m not sure"
"861","BABYHOSP",99,"I’d prefer not to answer"
"862","TRAP2",1,"Not a priority"
"863","TRAP2",2,"Low priority"
"864","TRAP2",3,"Somewhat a priority"
"865","TRAP2",4,"Moderate priority"
"866","TRAP2",5,"High priority"
"867","TRAP2",6,"Essential priority"
"868","TRAP2",9,"I prefer not to answer"
"869","RESPECT",1,"No, never"
"870","RESPECT",2,"Yes, a few times"
"871","RESPECT",3,"Yes, most of the time"
"872","RESPECT",4,"Yes, all the time"
"873","RESPECT",99,"I’d prefer not to answer"
"874","KNOWLEDGE",1,"No, never"
"875","KNOWLEDGE",2,"Yes, a few times"
"876","KNOWLEDGE",3,"Yes, most of the time"
"877","KNOWLEDGE",4,"Yes, all the time"
"878","KNOWLEDGE",99,"I’d prefer not to answer"
"879","CUSTOMS",1,"No, never"
"880","CUSTOMS",2,"Yes, a few times"
"881","CUSTOMS",3,"Yes, most of the time"
"882","CUSTOMS",4,"Yes, all the time"
"883","CUSTOMS",97,"Not applicable, I have no particular customs"
"884","CUSTOMS",99,"I’d prefer not to answer"
"885","HEARD",1,"No, never"
"886","HEARD",2,"Yes, a few times"
"887","HEARD",3,"Yes, most of the time"
"888","HEARD",4,"Yes, all the time"
"889","HEARD",99,"I’d prefer not to answer"
"890","DECISIONS",1,"No, never"
"891","DECISIONS",2,"Yes, a few times"
"892","DECISIONS",3,"Yes, most of the time"
"893","DECISIONS",4,"Yes, all the time"
"894","DECISIONS",99,"I’d prefer not to answer"
"895","CONSENT",1,"No, never"
"896","CONSENT",2,"Yes, a few times"
"897","CONSENT",3,"Yes, most of the time"
"898","CONSENT",4,"Yes, all the time"
"899","CONSENT",99,"I’d prefer not to answer"
"900","INFORMED",1,"No, never"
"901","INFORMED",2,"Yes, a few times"
"902","INFORMED",3,"Yes, most of the time"
"903","INFORMED",4,"Yes, all the time"
"904","INFORMED",99,"I’d prefer not to answer"
"905","TIMELINESS",1,"No, never"
"906","TIMELINESS",2,"Yes, a few times"
"907","TIMELINESS",3,"Yes, most of the time"
"908","TIMELINESS",4,"Yes, all the time"
"909","TIMELINESS",97,"Not applicable, I did not request assistance"
"910","TIMELINESS",99,"I’d prefer not to answer"
"911","NEGLECT",1,"No, never"
"912","NEGLECT",2,"Yes, a few times"
"913","NEGLECT",3,"Yes, most of the time"
"914","NEGLECT",4,"Yes, all the time"
"915","NEGLECT",99,"I’d prefer not to answer"
"916","TRUST",1,"No, never"
"917","TRUST",2,"Yes, a few times"
"918","TRUST",3,"Yes, most of the time"
"919","TRUST",4,"Yes, all the time"
"920","TRUST",99,"I’d prefer not to answer"
"921","FEEDING",1,"No, never"
"922","FEEDING",2,"Yes, a few times"
"923","FEEDING",3,"Yes, most of the time"
"924","FEEDING",4,"Yes, all the time"
"925","FEEDING",99,"I’d prefer not to answer"
"926","SAFE",1,"No, never"
"927","SAFE",2,"Yes, a few times"
"928","SAFE",3,"Yes, most of the time"
"929","SAFE",4,"Yes, all the time"
"930","SAFE",99,"I’d prefer not to answer"
"931","DISCRIMINATION",1,"No, never"
"932","DISCRIMINATION",2,"Yes, a few times"
"933","DISCRIMINATION",3,"Yes, most of the time"
"934","DISCRIMINATION",4,"Yes, all the time"
"935","DISCRIMINATION",99,"I’d prefer not to answer"
"936","DISCRIMINATION1C1",0,"No"
"937","DISCRIMINATION1C1",1,"Yes"
"938","DISCRIMINATION1C2",0,"No"
"939","DISCRIMINATION1C2",1,"Yes"
"940","DISCRIMINATION1C3",0,"No"
"941","DISCRIMINATION1C3",1,"Yes"
"942","DISCRIMINATION1C4",0,"No"
"943","DISCRIMINATION1C4",1,"Yes"
"944","DISCRIMINATION1C5",0,"No"
"945","DISCRIMINATION1C5",1,"Yes"
"946","DISCRIMINATION1C6",0,"No"
"947","DISCRIMINATION1C6",1,"Yes"
"948","DISCRIMINATION1C7",0,"No"
"949","DISCRIMINATION1C7",1,"Yes"
"950","DISCRIMINATION1C8",0,"No"
"951","DISCRIMINATION1C8",1,"Yes"
"952","DISCRIMINATION1C9",0,"No"
"953","DISCRIMINATION1C9",1,"Yes"
"954","DISCRIMINATION1C10",0,"No"
"955","DISCRIMINATION1C10",1,"Yes"
"956","DISCRIMINATION1C11",0,"No"
"957","DISCRIMINATION1C11",1,"Yes"
"958","DISCRIMINATION1C12",0,"No"
"959","DISCRIMINATION1C12",1,"Yes"
"960","DISCRIMINATION1C13",0,"No"
"961","DISCRIMINATION1C13",1,"Yes"
"962","DISCRIMINATION1C14",0,"No"
"963","DISCRIMINATION1C14",1,"Yes"
"964","DISCRIMINATION1C15",0,"No"
"965","DISCRIMINATION1C15",1,"Yes"
"966","DISCRIMINATION1C16",0,"No"
"967","DISCRIMINATION1C16",1,"Yes"
"968","DISCRIMINATION1C17",0,"No"
"969","DISCRIMINATION1C17",1,"Yes"
"970","DISCRIMINATION1C18",0,"No"
"971","DISCRIMINATION1C18",1,"Yes"
"972","DISCRIMINATION1C19",0,"No"
"973","DISCRIMINATION1C19",1,"Yes"
"974","DISCRIMINATION2",0,"AnswerCode"
"975","DISCRIMINATION2",99,"I’d prefer not to answer"
"976","PPVISIT",99,"I’d prefer not to answer"
"977","VISITS",0,"visit"
"978","VISITS",1,"visits"
"979","PPVISITTIME1",99,"I’d prefer not to answer"
"980","PPVISITTIME2",99,"I’d prefer not to answer"
"981","VISITTOPIC_A1",1,"Yes, definitely"
"982","VISITTOPIC_A1",2,"No, and I needed this information"
"983","VISITTOPIC_A1",3,"No, but I did not need this information"
"984","VISITTOPIC_A1",98,"I’m not sure"
"985","VISITTOPIC_A1",99,"I’d prefer not to answer"
"986","VISITTOPIC_A2",1,"Yes, definitely"
"987","VISITTOPIC_A2",2,"No, and I needed this information"
"988","VISITTOPIC_A2",3,"No, but I did not need this information"
"989","VISITTOPIC_A2",98,"I’m not sure"
"990","VISITTOPIC_A2",99,"I’d prefer not to answer"
"991","VISITTOPIC_A3",1,"Yes, definitely"
"992","VISITTOPIC_A3",2,"No, and I needed this information"
"993","VISITTOPIC_A3",3,"No, but I did not need this information"
"994","VISITTOPIC_A3",98,"I’m not sure"
"995","VISITTOPIC_A3",99,"I’d prefer not to answer"
"996","VISITTOPIC_A4",1,"Yes, definitely"
"997","VISITTOPIC_A4",2,"No, and I needed this information"
"998","VISITTOPIC_A4",3,"No, but I did not need this information"
"999","VISITTOPIC_A4",98,"I’m not sure"
"1000","VISITTOPIC_A4",99,"I’d prefer not to answer"
"1001","VISITTOPIC_A5",1,"Yes, definitely"
"1002","VISITTOPIC_A5",2,"No, and I needed this information"
"1003","VISITTOPIC_A5",3,"No, but I did not need this information"
"1004","VISITTOPIC_A5",98,"I’m not sure"
"1005","VISITTOPIC_A5",99,"I’d prefer not to answer"
"1006","VISITTOPIC_A6",1,"Yes, definitely"
"1007","VISITTOPIC_A6",2,"No, and I needed this information"
"1008","VISITTOPIC_A6",3,"No, but I did not need this information"
"1009","VISITTOPIC_A6",98,"I’m not sure"
"1010","VISITTOPIC_A6",99,"I’d prefer not to answer"
"1011","VISITTOPIC_A7",1,"Yes, definitely"
"1012","VISITTOPIC_A7",2,"No, and I needed this information"
"1013","VISITTOPIC_A7",3,"No, but I did not need this information"
"1014","VISITTOPIC_A7",98,"I’m not sure"
"1015","VISITTOPIC_A7",99,"I’d prefer not to answer"
"1016","PLANNEDFEEDC1",0,"No"
"1017","PLANNEDFEEDC1",1,"Yes"
"1018","PLANNEDFEEDC2",0,"No"
"1019","PLANNEDFEEDC2",1,"Yes"
"1020","PLANNEDFEEDC3",0,"No"
"1021","PLANNEDFEEDC3",1,"Yes"
"1022","PLANNEDFEEDC4",0,"No"
"1023","PLANNEDFEEDC4",1,"Yes"
"1024","HOSPFEEDC1",0,"No"
"1025","HOSPFEEDC1",1,"Yes"
"1026","HOSPFEEDC2",0,"No"
"1027","HOSPFEEDC2",1,"Yes"
"1028","HOSPFEEDC3",0,"No"
"1029","HOSPFEEDC3",1,"Yes"
"1030","HOSPFEEDC4",0,"No"
"1031","HOSPFEEDC4",1,"Yes"
"1032","HOSPFEEDC5",0,"No"
"1033","HOSPFEEDC5",1,"Yes"
"1034","HOSPFEEDC6",0,"No"
"1035","HOSPFEEDC6",1,"Yes"
"1036","HOSPFEEDC7",0,"No"
"1037","HOSPFEEDC7",1,"Yes"
"1038","HOSPFEEDC8",0,"No"
"1039","HOSPFEEDC8",1,"Yes"
"1040","HOSPFEEDC9",0,"No"
"1041","HOSPFEEDC9",1,"Yes"
"1042","HOSPFEEDC10",0,"No"
"1043","HOSPFEEDC10",1,"Yes"
"1044","HOSPFEEDC11",0,"No"
"1045","HOSPFEEDC11",1,"Yes"
"1046","HOSPFEEDC12",0,"No"
"1047","HOSPFEEDC12",1,"Yes"
"1048","FEED1WEEKC1",0,"No"
"1049","FEED1WEEKC1",1,"Yes"
"1050","FEED1WEEKC2",0,"No"
"1051","FEED1WEEKC2",1,"Yes"
"1052","FEED1WEEKC3",0,"No"
"1053","FEED1WEEKC3",1,"Yes"
"1054","CURRENTFEEDC1",0,"No"
"1055","CURRENTFEEDC1",1,"Yes"
"1056","CURRENTFEEDC2",0,"No"
"1057","CURRENTFEEDC2",1,"Yes"
"1058","CURRENTFEEDC3",0,"No"
"1059","CURRENTFEEDC3",1,"Yes"
"1060","CURRENTFEEDC4",0,"No"
"1061","CURRENTFEEDC4",1,"Yes"
"1062","CURRENTFEEDC5",0,"No"
"1063","CURRENTFEEDC5",1,"Yes"
"1064","EXCLUSIVEBF",99,"I’d prefer not to answer"
"1065","EXCLBFGOAL",1,"Yes"
"1066","EXCLBFGOAL",2,"No"
"1067","EXCLBFGOAL",99,"I’d prefer not to answer"
"1068","WEAN",99,"I’d prefer not to answer"
"1069","BFGOAL",1,"Yes"
"1070","BFGOAL",2,"No"
"1071","BFGOAL",99,"I’d prefer not to answer"
"1072","PPBOTHER_A1",1,"Always"
"1073","PPBOTHER_A1",2,"Usually"
"1074","PPBOTHER_A1",3,"Sometimes"
"1075","PPBOTHER_A1",4,"Never"
"1076","PPBOTHER_A1",99,"I’d prefer not to answer"
"1077","PPBOTHER_A2",1,"Always"
"1078","PPBOTHER_A2",2,"Usually"
"1079","PPBOTHER_A2",3,"Sometimes"
"1080","PPBOTHER_A2",4,"Never"
"1081","PPBOTHER_A2",99,"I’d prefer not to answer"
"1082","PPBOTHER_A3",1,"Always"
"1083","PPBOTHER_A3",2,"Usually"
"1084","PPBOTHER_A3",3,"Sometimes"
"1085","PPBOTHER_A3",4,"Never"
"1086","PPBOTHER_A3",99,"I’d prefer not to answer"
"1087","PPBOTHER_A4",1,"Always"
"1088","PPBOTHER_A4",2,"Usually"
"1089","PPBOTHER_A4",3,"Sometimes"
"1090","PPBOTHER_A4",4,"Never"
